vehicle,normalized_vehicle,vehicle_class,eligibility,models,note
10 and 12 cylinder vehicles,10 AND 12 CYLINDER VEHICLES,,INELIGIBLE,,
Acura,ACURA,A,ELIGIBLE,"[""ILX"",""Integra"",""MDX"",""RDX"",""RLX"",""TLX"",""TSX""]",
Acura NSX,ACURA NSX,,INELIGIBLE,,
Audi,AUDI,C,ELIGIBLE,"[""A4""]",Model exceptions: A4 (A2 removed due to vintage policy)
Audi,AUDI,D,ELIGIBLE,"[""A4""]",Default Audi class unless model exception or excluded
Audi R8,AUDI R8,,INELIGIBLE,,
BMW,BMW,C,ELIGIBLE,"[""1"",""2"",""3"",""X1"",""Z4""]","Model exceptions: 1,2,3,X1,Z4 (Z3 removed due to vintage policy)"
BMW,BMW,D,ELIGIBLE,"[""1"",""2"",""3"",""X1"",""Z4""]",except Class C or excluded
Buick,BUICK,A,ELIGIBLE,"[""Cascada"",""Enclave"",""Encore"",""Envision"",""LaCrosse"",""Regal"",""Verano""]",
Cadillac,CADILLAC,D,ELIGIBLE,"[""CT4"",""CT5"",""CT6"",""CTS"",""ELR"",""Escalade"",""Escalade ESV"",""SRX"",""STS"",""STS-V"",""XLR"",""XLR-V"",""XT4"",""XT5"",""XT6"",""XTS"",""and XTS Twin Turbo""]","ELR, STS-V, XLR-V, and XTS Twin Turbo"
Cadillac,CADILLAC,B,ELIGIBLE,"[""CT4"",""CT5"",""CT6"",""CTS"",""ELR"",""Escalade"",""Escalade ESV"",""SRX"",""STS"",""STS-V"",""XLR"",""XLR-V"",""XT4"",""XT5"",""XT6"",""XTS""]",except class D models
Chevrolet,CHEVROLET,A,ELIGIBLE,"[""Blazer"",""Camaro"",""Colorado"",""Cruze"",""Equinox"",""Impala"",""Malibu"",""Silverado 1500"",""Silverado 2500"",""Silverado 3500"",""Spark"",""Suburban"",""Tahoe"",""Trailblazer"",""Traverse"",""Trax"",""Corvette""]",except class D models
Chevrolet Caprice,CHEVROLET CAPRICE,,INELIGIBLE,,
Chevrolet Corvette,CHEVROLET CORVETTE,D,ELIGIBLE,,
Chevrolet Corvette ZR-1 and Callaway,CHEVROLET CORVETTE ZR 1 AND CALLAWAY,,INELIGIBLE,,
Chevrolet Pick-Ups 4500 or larger,CHEVROLET PICK UPS 4500 OR LARGER,,INELIGIBLE,,
Chrysler,CHRYSLER,A,ELIGIBLE,"[""200"",""300"",""Pacifica"",""Voyager"",""300 SRT8""]",except class D models
Chrysler SRT,CHRYSLER SRT,D,ELIGIBLE,,
Dodge,DODGE,A,ELIGIBLE,"[""Challenger (Standard)"",""Charger (Standard)"",""Dart"",""Durango"",""Grand Caravan"",""Journey"",""Challenger SRT"",""Charger SRT"",""Durango SRT"",""Challenger R/T"",""Charger R/T""]",except class D models
Dodge,DODGE,D,ELIGIBLE,"[""Challenger (Standard)"",""Charger (Standard)"",""Dart"",""Durango"",""Grand Caravan"",""Journey"",""Challenger SRT"",""Charger SRT"",""Durango SRT"",""Challenger R/T"",""Charger R/T""]",SRT and Challenger R/T
Dodge Pick-Ups 4500 or larger,DODGE PICK UPS 4500 OR LARGER,,INELIGIBLE,,
Dodge RAM Pick-Ups SRT-10,DODGE RAM PICK UPS SRT 10,,INELIGIBLE,,
Dodge Sprinter Van,DODGE SPRINTER VAN,,INELIGIBLE,,
Dodge Stealth,DODGE STEALTH,,INELIGIBLE,,
Dodge Viper,DODGE VIPER,,INELIGIBLE,,
Electric Vehicles other than Hybrids,ELECTRIC VEHICLES OTHER THAN HYBRIDS,,INELIGIBLE,,
Exotic Vehicles,EXOTIC VEHICLES,,INELIGIBLE,,
Fiat,FIAT,B,ELIGIBLE,"[""124 Spider"",""500"",""500L"",""500X""]",
Fiat 500e,FIAT 500E,,INELIGIBLE,,
Flood Damage Vehicles,FLOOD DAMAGE VEHICLES,,INELIGIBLE,,
Ford,FORD,A,ELIGIBLE,"[""Bronco"",""Bronco Sport"",""Edge"",""Escape"",""Expedition"",""Explorer"",""F-150"",""F-250"",""F-350"",""Fiesta"",""Flex"",""Focus"",""Fusion"",""Maverick"",""Mustang (Standard)"",""Ranger"",""Taurus"",""Transit""]",
Ford Cobra Models,FORD COBRA MODELS,,INELIGIBLE,,
Ford E450 and F450 or larger,FORD E450 AND F450 OR LARGER,,INELIGIBLE,,
Ford F-Series Raptor,FORD F SERIES RAPTOR,,INELIGIBLE,,
Ford F150 Foose Edition,FORD F150 FOOSE EDITION,,INELIGIBLE,,
Ford Fusion Energi,FORD FUSION ENERGI,,INELIGIBLE,,
Ford GT and GT500 Saleen,FORD GT AND GT500 SALEEN,,INELIGIBLE,,
Ford Mustang GT500 & Shelby GT500,FORD MUSTANG GT500 SHELBY GT500,,INELIGIBLE,,
Ford Shelby Cobra,FORD SHELBY COBRA,,INELIGIBLE,,
Ford Transit Connect,FORD TRANSIT CONNECT,,INELIGIBLE,,
GMC,GMC,A,ELIGIBLE,"[""Acadia"",""Canyon"",""Savana"",""Sierra 1500"",""Sierra 2500"",""Sierra 3500"",""Terrain"",""Yukon"",""Yukon XL""]",
GMC Pick-Ups 4500 or larger,GMC PICK UPS 4500 OR LARGER,,INELIGIBLE,,
Gray Market Vehicles,GRAY MARKET VEHICLES,,INELIGIBLE,,
Honda,HONDA,A,ELIGIBLE,"[""Accord (Non-Hybrid)"",""Civic (Non-Hybrid)"",""CR-V (Non-Hybrid)"",""Fit"",""HR-V"",""Insight (Pre-2010)"",""Odyssey"",""Passport"",""Pilot"",""Ridgeline""]",
"Honda Accord Plug-In, FCX, & Fit EV",HONDA ACCORD PLUG IN FCX FIT EV,,INELIGIBLE,,
Hummer,HUMMER,B,ELIGIBLE,"[""H2"",""H3"",""H3T""]",
Hummer H1 and H1 Alpha,HUMMER H1 AND H1 ALPHA,,INELIGIBLE,,
Hyundai,HYUNDAI,A,ELIGIBLE,"[""Accent"",""Elantra"",""Kona"",""Palisade"",""Santa Cruz"",""Santa Fe"",""Sonata"",""Tucson"",""Veloster"",""Venue""]",
Infiniti,INFINITI,A,ELIGIBLE,"[""G35"",""G37"",""Q50"",""Q60"",""QX50"",""QX55"",""QX60"",""QX80""]",
Infiniti G IPL Coupe,INFINITI G IPL COUPE,,INELIGIBLE,,
Isuzu,ISUZU,A,ELIGIBLE,"[""Ascender"",""i-Series"",""Rodeo"",""Trooper""]",
Isuzu NPR,ISUZU NPR,,INELIGIBLE,,
Jaguar,JAGUAR,D,ELIGIBLE,"[""E-PACE"",""F-PACE"",""F-TYPE"",""I-PACE (Non-EV Check)"",""XE"",""XF"",""XJ"",""XK""]",
Jeep,JEEP,B,ELIGIBLE,"[""Cherokee"",""Compass"",""Gladiator"",""Grand Cherokee"",""Liberty"",""Patriot"",""Renegade"",""Wrangler"",""Grand Cherokee SRT""]",except class D models
Jeep SRT,JEEP SRT,D,ELIGIBLE,,
Kia,KIA,A,ELIGIBLE,"[""Cadenza"",""Forte"",""K5"",""Niro (Non-Hybrid)"",""Optima"",""Rio"",""Sedona"",""Seltos"",""Sorento"",""Soul"",""Sportage"",""Stinger"",""Telluride""]",
Kia Soul EV,KIA SOUL EV,,INELIGIBLE,,
Land Rover,LAND ROVER,D,ELIGIBLE,"[""Defender"",""Discovery"",""Discovery Sport"",""Range Rover"",""Range Rover Evoque"",""Range Rover Sport"",""Range Rover Velar""]",
Lexus,LEXUS,A,ELIGIBLE,"[""ES"",""GS"",""GX"",""IS"",""LS (Non-Hybrid)"",""LX"",""NX"",""RC"",""RX"",""UX""]",
Lexus LFA & LS600hL,LEXUS LFA LS600HL,,INELIGIBLE,,
Limited Production Vehicles,LIMITED PRODUCTION VEHICLES,,INELIGIBLE,,
Lincoln,LINCOLN,B,ELIGIBLE,"[""Aviator"",""Continental"",""Corsair"",""MKC"",""MKS"",""MKT"",""MKX"",""MKZ"",""Nautilus"",""Navigator""]",
Mazda,MAZDA,A,ELIGIBLE,"[""CX-3"",""CX-30"",""CX-5"",""CX-50"",""CX-7"",""CX-9"",""CX-90"",""Mazda3"",""Mazda5"",""Mazda6"",""MX-5 Miata""]",
Mazda RX-7 & RX8,MAZDA RX 7 RX8,,INELIGIBLE,,
Mercedes-Benz,MERCEDES BENZ,C,ELIGIBLE,"[""A-Class"",""B-Class"",""C-Class"",""C220"",""C230"",""C240"",""C250"",""CL"",""CLA"",""CLA250"",""CLK"",""CLK250"",""CLS"",""E-Class"",""G-Class"",""GL"",""GLA"",""GLA250"",""GLB"",""GLC"",""GLE"",""GLK"",""GLK250"",""GLS"",""ML"",""ML250"",""S-Class"",""SL"",""SLK"",""SLK230"",""SLK250"",""SLK280""]","Explicit Class C Mercedes-Benz exceptions: C220/C230/C240/C250 and 250-series variants CLA250/CLK250/GLA250. All other Mercedes-Benz models, including C300/C350 and higher-performance trims, intentionally default to Class D unless separately mapped in a future schema version."
Mercedes-Benz,MERCEDES BENZ,D,ELIGIBLE,"[""A-Class"",""B-Class"",""C-Class"",""C250"",""CL"",""CLA"",""CLA250"",""CLK"",""CLK250"",""CLS"",""E-Class"",""G-Class"",""GL"",""GLA"",""GLA250"",""GLB"",""GLC"",""GLE"",""GLK"",""GLK250"",""GLS"",""ML"",""ML250"",""S-Class"",""SL"",""SLK"",""SLK230"",""SLK250"",""SLK280""]","Default Mercedes-Benz class for all models not explicitly listed as Class C exceptions (including C300/C350 and higher-performance trims), unless separately excluded or remapped in a future schema version."
Mercury,MERCURY,A,ELIGIBLE,"[""Grand Marquis"",""Mariner"",""Milan"",""Mountaineer"",""Sable""]",
Mini,MINI,C,ELIGIBLE,"[""Clubman"",""Convertible"",""Countryman"",""Hardtop 2 Door"",""Hardtop 4 Door"",""Paceman"",""Cooper"",""Cooper S""]",
Mini Cooper Electric,MINI COOPER ELECTRIC,,INELIGIBLE,,
Mitsubishi,MITSUBISHI,A,ELIGIBLE,"[""Eclipse"",""Eclipse Cross"",""Galant"",""Lancer"",""Mirage"",""Outlander"",""Outlander Sport""]",
Mitsubishi 3000 & VR4,MITSUBISHI 3000 VR4,,INELIGIBLE,,
Mitsubishi Colt Coupe Turbo,MITSUBISHI COLT COUPE TURBO,,INELIGIBLE,,
Nissan,NISSAN,A,ELIGIBLE,"[""Altima"",""Armada"",""Frontier"",""Kicks"",""Maxima"",""Murano"",""Pathfinder"",""Rogue"",""Sentra"",""Titan"",""Versa"",""Xterra""]",
Nissan GTR,NISSAN GTR,,INELIGIBLE,,
Oldsmobile,OLDSMOBILE,A,ELIGIBLE,"[""Alero"",""Bravada"",""Intrigue"",""Silhouette""]",
Pontiac,PONTIAC,A,ELIGIBLE,"[""Bonneville"",""G6"",""G8"",""Grand Am"",""Grand Prix"",""Montana"",""Solstice"",""Vibe""]",
