coverage_level,vehicle_class,mileage_band,term,deductible,band,price,term_months,term_miles
EXCLUSIONARY,A,"0 - 48,000","24 / 24,000",100,REFERENCE_LOW,950,24,24000
EXCLUSIONARY,A,"0 - 48,000","24 / 24,000",100,REFERENCE_HIGH,1250,24,24000
EXCLUSIONARY,A,"0 - 48,000","24 / 30,000",100,REFERENCE_LOW,1000,24,30000
EXCLUSIONARY,A,"0 - 48,000","24 / 30,000",100,REFERENCE_HIGH,1350,24,30000
EXCLUSIONARY,A,"0 - 48,000","36 / 36,000",100,REFERENCE_LOW,1250,36,36000
EXCLUSIONARY,A,"0 - 48,000","36 / 36,000",100,REFERENCE_HIGH,1650,36,36000
EXCLUSIONARY,A,"0 - 48,000","48 / 48,000",100,REFERENCE_LOW,1500,48,48000
EXCLUSIONARY,A,"0 - 48,000","48 / 48,000",100,REFERENCE_HIGH,2000,48,48000
EXCLUSIONARY,A,"0 - 48,000","60 / 60,000",100,REFERENCE_LOW,2000,60,60000
EXCLUSIONARY,A,"0 - 48,000","60 / 60,000",100,REFERENCE_HIGH,2700,60,60000
EXCLUSIONARY,A,"0 - 48,000","60 / 75,000",100,REFERENCE_LOW,2250,60,75000
EXCLUSIONARY,A,"0 - 48,000","60 / 75,000",100,REFERENCE_HIGH,3050,60,75000
EXCLUSIONARY,A,"48,001 - 60,000","24 / 24,000",100,REFERENCE_LOW,1050,24,24000
EXCLUSIONARY,A,"48,001 - 60,000","24 / 24,000",100,REFERENCE_HIGH,1400,24,24000
EXCLUSIONARY,A,"48,001 - 60,000","24 / 30,000",100,REFERENCE_LOW,1100,24,30000
EXCLUSIONARY,A,"48,001 - 60,000","24 / 30,000",100,REFERENCE_HIGH,1500,24,30000
EXCLUSIONARY,A,"48,001 - 60,000","36 / 36,000",100,REFERENCE_LOW,1400,36,36000
EXCLUSIONARY,A,"48,001 - 60,000","36 / 36,000",100,REFERENCE_HIGH,1900,36,36000
EXCLUSIONARY,A,"48,001 - 60,000","48 / 48,000",100,REFERENCE_LOW,1750,48,48000
EXCLUSIONARY,A,"48,001 - 60,000","48 / 48,000",100,REFERENCE_HIGH,2300,48,48000
EXCLUSIONARY,A,"48,001 - 60,000","60 / 60,000",100,REFERENCE_LOW,2300,60,60000
EXCLUSIONARY,A,"48,001 - 60,000","60 / 60,000",100,REFERENCE_HIGH,3100,60,60000
EXCLUSIONARY,A,"48,001 - 60,000","60 / 75,000",100,REFERENCE_LOW,2600,60,75000
EXCLUSIONARY,A,"48,001 - 60,000","60 / 75,000",100,REFERENCE_HIGH,3500,60,75000
EXCLUSIONARY,A,"60,001 - 72,000","24 / 24,000",100,REFERENCE_LOW,1500,24,24000
EXCLUSIONARY,A,"60,001 - 72,000","24 / 24,000",100,REFERENCE_HIGH,2000,24,24000
EXCLUSIONARY,A,"60,001 - 72,000","24 / 30,000",100,REFERENCE_LOW,1600,24,30000
EXCLUSIONARY,A,"60,001 - 72,000","24 / 30,000",100,REFERENCE_HIGH,2100,24,30000
EXCLUSIONARY,A,"60,001 - 72,000","36 / 36,000",100,REFERENCE_LOW,1950,36,36000
EXCLUSIONARY,A,"60,001 - 72,000","36 / 36,000",100,REFERENCE_HIGH,2650,36,36000
EXCLUSIONARY,A,"60,001 - 72,000","48 / 48,000",100,REFERENCE_LOW,2550,48,48000
EXCLUSIONARY,A,"60,001 - 72,000","48 / 48,000",100,REFERENCE_HIGH,3400,48,48000
EXCLUSIONARY,A,"60,001 - 72,000","60 / 60,000",100,REFERENCE_LOW,3450,60,60000
EXCLUSIONARY,A,"60,001 - 72,000","60 / 60,000",100,REFERENCE_HIGH,4600,60,60000
EXCLUSIONARY,A,"60,001 - 72,000","60 / 75,000",100,REFERENCE_LOW,3950,60,75000
EXCLUSIONARY,A,"60,001 - 72,000","60 / 75,000",100,REFERENCE_HIGH,5250,60,75000
EXCLUSIONARY,A,"72,001 - 84,000","24 / 24,000",100,REFERENCE_LOW,1550,24,24000
EXCLUSIONARY,A,"72,001 - 84,000","24 / 24,000",100,REFERENCE_HIGH,2050,24,24000
EXCLUSIONARY,A,"72,001 - 84,000","24 / 30,000",100,REFERENCE_LOW,1650,24,30000
EXCLUSIONARY,A,"72,001 - 84,000","24 / 30,000",100,REFERENCE_HIGH,2200,24,30000
EXCLUSIONARY,A,"72,001 - 84,000","36 / 36,000",100,REFERENCE_LOW,2150,36,36000
EXCLUSIONARY,A,"72,001 - 84,000","36 / 36,000",100,REFERENCE_HIGH,2850,36,36000
EXCLUSIONARY,A,"72,001 - 84,000","48 / 48,000",100,REFERENCE_LOW,2600,48,48000
EXCLUSIONARY,A,"72,001 - 84,000","48 / 48,000",100,REFERENCE_HIGH,3450,48,48000
EXCLUSIONARY,A,"72,001 - 84,000","60 / 60,000",100,REFERENCE_LOW,3600,60,60000
EXCLUSIONARY,A,"72,001 - 84,000","60 / 60,000",100,REFERENCE_HIGH,4850,60,60000
EXCLUSIONARY,A,"72,001 - 84,000","60 / 75,000",100,REFERENCE_LOW,4150,60,75000
EXCLUSIONARY,A,"72,001 - 84,000","60 / 75,000",100,REFERENCE_HIGH,5550,60,75000
EXCLUSIONARY,B,"0 - 48,000","24 / 24,000",100,REFERENCE_LOW,1450,24,24000
EXCLUSIONARY,B,"0 - 48,000","24 / 24,000",100,REFERENCE_HIGH,1900,24,24000
EXCLUSIONARY,B,"0 - 48,000","24 / 30,000",100,REFERENCE_LOW,1500,24,30000
EXCLUSIONARY,B,"0 - 48,000","24 / 30,000",100,REFERENCE_HIGH,2050,24,30000
EXCLUSIONARY,B,"0 - 48,000","36 / 36,000",100,REFERENCE_LOW,1950,36,36000
EXCLUSIONARY,B,"0 - 48,000","36 / 36,000",100,REFERENCE_HIGH,2600,36,36000
EXCLUSIONARY,B,"0 - 48,000","48 / 48,000",100,REFERENCE_LOW,2450,48,48000
EXCLUSIONARY,B,"0 - 48,000","48 / 48,000",100,REFERENCE_HIGH,3250,48,48000
EXCLUSIONARY,B,"0 - 48,000","60 / 60,000",100,REFERENCE_LOW,3300,60,60000
EXCLUSIONARY,B,"0 - 48,000","60 / 60,000",100,REFERENCE_HIGH,4400,60,60000
EXCLUSIONARY,B,"0 - 48,000","60 / 75,000",100,REFERENCE_LOW,3750,60,75000
EXCLUSIONARY,B,"0 - 48,000","60 / 75,000",100,REFERENCE_HIGH,5050,60,75000
EXCLUSIONARY,B,"48,001 - 60,000","24 / 24,000",100,REFERENCE_LOW,1650,24,24000
EXCLUSIONARY,B,"48,001 - 60,000","24 / 24,000",100,REFERENCE_HIGH,2200,24,24000
EXCLUSIONARY,B,"48,001 - 60,000","24 / 30,000",100,REFERENCE_LOW,1750,24,30000
EXCLUSIONARY,B,"48,001 - 60,000","24 / 30,000",100,REFERENCE_HIGH,2350,24,30000
EXCLUSIONARY,B,"48,001 - 60,000","36 / 36,000",100,REFERENCE_LOW,2250,36,36000
EXCLUSIONARY,B,"48,001 - 60,000","36 / 36,000",100,REFERENCE_HIGH,3050,36,36000
EXCLUSIONARY,B,"48,001 - 60,000","48 / 48,000",100,REFERENCE_LOW,2800,48,48000
EXCLUSIONARY,B,"48,001 - 60,000","48 / 48,000",100,REFERENCE_HIGH,3750,48,48000
EXCLUSIONARY,B,"48,001 - 60,000","60 / 60,000",100,REFERENCE_LOW,3850,60,60000
EXCLUSIONARY,B,"48,001 - 60,000","60 / 60,000",100,REFERENCE_HIGH,5150,60,60000
EXCLUSIONARY,B,"48,001 - 60,000","60 / 75,000",100,REFERENCE_LOW,4400,60,75000
